QardioArm Wireless Blood Pressure Monitor - Arctic W  ...,$79.90,4.8/5.0,https://www.walmart.com/ip/QardioArm-Wireless-Blood-Pressure-Monitor-Arctic-White/44389112,"A Smarter Read on Blood Pressure: QardioArm is the smart blood pressure monitor that fits your daily life It measures your systolic/diastolic blood pressure and heart rate A wireless blood pressure monitor with a revolutionary design and effortless user experience, QardioArm is the smart blood pressure monitor you can always have with you A beautiful device that turns on when you unwrap it and pairs to your phone with a tap All you have to do is put it on, launch the app and press &quot;START&quot; All readings are automatically recorded and uploaded to Qardios secure cloud From there, you can share your data with your family, friends or doctor QardioArms elegant and discreet design fits seamlessly into your life Its proprietary relaxation function and multimeasurement averaging feature allow even greater accuracy QardioArm empowers you to manage your heart health QardioArm works with Apple iOS iPhone 4s or later, iPad 3rd gen or later, iPad Air, iPad mini, iPod Touch 5th gen or later and Android please see getqardiocom/devices for a list of compatible devices Requires Bluetooth 40 and iOS 70 or later or Android 44 &quot;KitKat&quot; or later Free Qardio app, available in the Apple App Store or Google Play store",Walmart #  555081681
Omron 3 Series Wrist Blood Pressure Monitor (60 Read  ...,$36.88,4.5/5.0,https://www.walmart.com/ip/Omron-3-Series-Wrist-Blood-Pressure-Monitor-60-Reading-Memory/15715320,"Monitor your health with the Omron 3 Series Wrist Blood Pressure Monitor It features a discreet and convenient portable wrist unit that allows users to monitor their readings at home, work or anywhere It also has memory storage with a date and time stamp that allows you to review the last 60 results You can even display the average of readings taken in the last 10 minutes Equipped with a large easytoread display, this dependable Omron wrist blood pressure monitor is lightweight and portable, making it easy for you to check your blood pressure on the go Simply wrap the cuff around the wrist and press start to get your results in just seconds/p",Walmart #  4000979
Zacurate 500BL Fingertip Pulse Oximeter Blood Oxygen  ...,$13.50,4.4/5.0,https://www.walmart.com/ip/Zacurate-500BL-Fingertip-Pulse-Oximeter-Blood-Oxygen-Saturation-Monitor-with-batteries-and-lanyard-included-Chromatic-Blue/757187983,"This Zacurate Fingertip Pulse Oximeter Blood Oxygen Saturation Monitor with Batteries and Lanyard Included Chromatic Blue can help to give you accurate results on the go This device is designed by doctors and other health professionals to be used by pilots and sports enthusiasts who need to test their SpO2 blood oxygen saturation levels The fingertip oximeter can also show a pulse rate A large LED display face can be easily read by the user for fast accuracy Taking a reading with this Zacurate pulse oximeter is easy and efficient Simply clip it to your finger and operate with the press of a button Its small and compact size can be conveniently carried in a pocket, backpack or other methods Or, attach to the provided lanyard and wear around the neck while hiking or training This device comes with two AAA batteries and is ready to use right out of the package /p",Walmart #  564734705
digita l Wrist Blood Pressure Cuff Wrist Monitor Aut  ...,$13.29,3.0/5.0,https://www.walmart.com/ip/digita-l-Wrist-Blood-Pressure-Cuff-Wrist-Monitor-Automatic-digita-l-Sphygmomanometer-Diastolic-Systolic-High-Accurate-Meter-Best-Reading-High-Normal-/363741554," / Features:/p  //p liQuick and accurate measurement of blood pressure and pulse //li liWrist type model with simple operation of just 1 button push //li liIdeal for the daily monitoring of blood pressure //li liAutomatic determines ideal cuff inflation //li liAverage value for last three records //li liSelectable between mmHg and kpa //li liIrregular heart beating signalbDescriptions:/b/p //p/li liHigh &amp; low pulse rate indicators //li liLarge and clear LCD, easy to read //li liGuide standards for assessment of high blood pressure //li liWarning heart blinker, shows that the monitor is taking measurementbSpecifications:/b/p //p/li liItem Type:Blood Pressure //li liApplication:wrist //li liType: Wrist Blood Pressure Monitor //li liWrist Circumference: 135 ~ 195 mm //li liMeasurement Range: //li liPressure: 20 ~ 280 mmHg //li liPulse Rate: 40 ~ 165 beat / min //li liPressure: within 3 mmHg //li liPulse rate: within 5% of reading //li liMaterial:plastic //li liSize:70726325mmLWH //li liPower supply: 2 x AAA alkaline batteries not included //li liDisplay: LCD //li liBox size:909089mm //li liColor:White //li liPacking content: //li li1 x Wrist Type Blood Pressure Monitor  //li li/li",Walmart #  570159052
HoMedics BPW-060 Automatic Wrist Blood Pressure Moni  ...,$39.99,4.8/5.0,https://www.walmart.com/ip/HoMedics-BPW-060-Automatic-Wrist-Blood-Pressure-Monitor/17433497,"The HoMedics BPW060 Automatic Wrist Blood Pressure Monitor makes a helpful addition to a supply of medical gear with its comfortable design It features smart measure technology, which enables the device to automatically inflate and deflate at the appropriate level The HoMedics blood pressure monitor is designed to accurately compute diastolic and systolic numbers and pulse rate per minute It shows the readings on a digital screen with large numbers that are easy to see at a glance This appliance can be utilized by two different operators and it has enough memory to store and recall 120 results This monitor comes in a handy storage case/p",Walmart #  552027600
Omron 7 Series Wireless Wrist Blood Pressure Monitor,$69.54,4.6/5.0,https://www.walmart.com/ip/Omron-7-Series-Wireless-Wrist-Blood-Pressure-Monitor/46717863,"Measure your blood pressure on your own terms with the Omron 7 Series Wireless Wrist Blood Pressure Monitor with Bluetooth Smart Connectivity The slim and compact design allows for easy portability This Omron 7 Series automatically averages your 3 previous reading for a more accurate overview It comes with the main unit, batteries, instruction manual and quick start guide It also includes a storage case for onthego use This Omron 7 Series wrist Bluetooth blood pressure monitor saves over 100 readings and features Heart guide technology that detects when the wrist is at heart level before it begins monitoring, for simple and precise operation",Walmart #  554579958
As Seen on TV Blood Pressure Monitor by Color Doctor,$39.95,3.8/5.0,https://www.walmart.com/ip/As-Seen-on-TV-Blood-Pressure-Monitor-by-Color-Doctor/171086340,"High blood pressure is the leading cause of heart attacks and strokes Color Doctor provides an easy and accurate way to monitor your blood pressure&nbsp;Youll get accurate results in less than a minute on a colorcoded screen Green means your pressure is good to go and normal If the screen turns yellow, caution Your blood pressure is elevated And if it turns red, STOP Your blood pressure is dangerously high Along with reading your heart rate, Color Doctor will also alert you to an irregular heart beat Too many people dont know they suffer from high blood pressure until its too late Dont let it happen to you Get Color Doctor today This item needs batteries, AAA, which arent included",Walmart #  557075620
ChoiceMMed Pulse Oximeter,$34.99,4.6/5.0,https://www.walmart.com/ip/ChoiceMMed-Pulse-Oximeter/17325061,"This ChoiceMMed Pulse Oximeter is a nice device for fitness and outdoors enthusiasts, as well as medical or nursing students It conveniently and quickly measures the level of oxygen in your system and your pulse rate This ChoiceMMed oximeter has an easy to read HD display It is lightweight and easy to carry around with you wherever you go and it comes with a convenient carrying case and lanyard",Walmart #  004013768
Everlast TR10 Blood Pressure and Heart Rate Monitor   ...,$29.99 - $35.87,3.9/5.0,https://www.walmart.com/ip/Everlast-TR10-Blood-Pressure-and-Heart-Rate-Monitor-Activity-Tracker-Includes-Caller-ID-and-Message-Previews/157143777,"Everlast TR10 Blood Pressure and Heart Rate Monitor Activity Tracker  Stay healthy with theEverlast TR10 Blood Pressure and Heart Rate Monitor Activity Tracker This watch features a silicone band, available in color options to choose from It will monitor your heart rate and blood pressure, as well as keep track of steps, calories burned, and sleep patterns Compatible with current iOS and Android smart phones, the watch includes a remote camera controller for taking handsfree selfies An antiloss alert will notify you if the watch is 30feet away from your home, so youll never have to worry about missing out on tracking your progress",Walmart #  566032179
Omron HBF-306C Body Fat Loss Monitor,$35.31,4.5/5.0,https://www.walmart.com/ip/Omron-HBF-306C-Body-Fat-Loss-Monitor/3342463,"Now you can get on track to a healthier, leaner you with the Omron Hbf306c Body Fat Analyzer While you work hard to eat right and exercise, you want to monitor your progress With this body fat monitor, all you have to do is grab onto the handles, and youll have your results in seconds This clinically proven device records your numbers in the convenience of your own home The instruction manual gives thorough steps for use, and you get a reading for both body mass index and body fat percentage This helps you achieve or maintain your fitness goals The Omron fat loss monitor has memory settings for nine individuals, so you can use it with your family or workout buddies",Walmart #  004097202
